0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,
2,投资,网络架构,线路联络率,,,0.2845,0.290403375,0.303544128,0.335719805,0.34478424,0.368531255,0.372492966,0.375286663,0.405591061,0.420090941,0.458161683,0.507585874,0.550540329,0.614815912,,,,,,,,,,,,,,
,,,无功补偿比例,,,0.4198,0.451590309,0.477577279,0.520081656,0.529112165,0.573172778,0.592660653,0.605214283,0.615833043,0.640858258,0.667308226,0.72409009,0.727447235,0.750791678,,,,,,,,,,,,,,
,,装备水平,电缆化率,,,0.273,0.286689,0.318798168,0.327542346,0.37194773,0.395699249,0.439226167,0.482584064,0.498302517,0.520156641,0.528850688,0.54600056,0.601926618,0.616028898,,,,,,,,,,,,,,
,,,架空线路绝缘化率,,,0.5173,0.519322173,0.546421348,0.588297093,0.620920841,0.634411757,0.680781489,0.699348257,0.728402999,0.784953559,0.839186714,0.890911131,0.926547576,0.94095118,,,,,,,,,,,,,,
,,,自动化率,,,0.2497,0.2569413,0.262690362,0.283639918,0.309628425,0.339584976,0.349602732,0.383645298,0.385563525,0.409179291,0.438128726,0.482270195,0.541468861,0.544717674,,,,,,,,,,,,,,
,,,运行31年以上配电比例,,,0.39622,0.37541845,0.351438597,0.314361825,0.296443201,0.276618562,0.249613674,0.227834881,0.220287851,0.195946043,0.181078637,0.160480942,0.154262306,0.147629027,,,,,,,,,,,,,,
,,,运行31年以上线路比例,,,0.46173,0.460396113,0.432670036,0.394787371,0.354343598,0.342689631,0.312761403,0.295559526,0.278942513,0.251761114,0.24241798,0.241394437,0.237827164,0.22590938,,,,,,,,,,,,,,
,环境,负荷与自然因素,年平均日照小时数,,,0.45853,0.486458645,0.495347572,0.484720115,0.5,0.5,0.5,0.5,0.5,0.464181818,0.425148347,0.447294711,0.474051067,0.46250146,,,,,,,,,,,,,,
,,,年最大负荷利用小时数,,,0.44736,0.447892571,0.457767536,0.468819352,0.484513638,0.487536081,0.490647025,0.504642147,0.514182287,0.526987874,0.527263916,0.547601238,0.573155963,0.594881303,,,,,,,,,,,,,,
,,能源因素,分布式光伏装机容量,,,0.01707,0.06,0.0757,0.089982067,0.119466191,0.119784767,0.130964679,0.172305862,0.223940186,0.246856731,0.26956755,0.302544647,0.308192148,0.399930677,,,,,,,,,,,,,,
,,,分布式风机装机容量,,,0.12484,0.15068188,0.172869787,0.208437745,0.209584153,0.261508627,0.295570126,0.352171805,0.39,0.39,0.39,0.39,0.39,0.39,,,,,,,,,,,,,,
,效益,供电质量,供电可靠性,,,0.773276506,0.80024086,0.833056562,0.87256288,0.89105061,0.913725164,0.935154784,0.934923173,0.947146051,0.959590854,0.964941339,0.975577354,0.982954857,0.9915918,,,,,,,,,,,,,,
,,,系统平均停电频率,,,0.003800915,0.003423723,0.002723498,0.001973696,0.001487482,0.001140477,0.000878612,0.000707743,0.00057651,0.000446005,0.000348957,0.0002304,0.000167875,0.000126077,,,,,,,,,,,,,,
,,,电压合格率,,,0.565631137,0.604658381,0.673921922,0.736730703,0.811139234,0.850993665,0.904857001,0.936879718,0.944347649,0.964296343,0.971583545,0.982310803,0.994406274,0.999,,,,,,,,,,,,,,
,,,系统失负荷量,,,4058.513067,4042.712868,4022.825393,3991.814138,3923.906981,3915.194346,3886.098059,3875.635694,3889.805227,3874.139853,3849.48144,3867.673413,3864.851394,3873.537839,,,,,,,,,,,,,,
,,运行水平,线路重载比例,,,0.259766336,0.249142722,0.212404264,0.186402255,0.177521753,0.151621146,0.124833619,0.14145125,0.105171864,0.079723352,0.10816557,0.085141033,0.043484233,0.06592608,,,,,,,,,,,,,,
,,,线路平均负载率,,,0.440270117,0.449094904,0.465621932,0.47976041,0.498507955,0.511056209,0.524711408,0.533742573,0.537000407,0.541353852,0.542805739,0.546092494,0.547887282,0.548473866,,,,,,,,,,,,,,
,,,配电重载比例,,,0.058540649,0.072335492,0.054699344,0.073023122,0.068612375,0.067699421,0.074948659,0.064455253,0.048333196,0.056915324,0.05324304,0.062856428,0.07054548,0.056429547,,,,,,,,,,,,,,
,,,网损率,,,0.114728047,0.109341689,0.101560503,0.092506424,0.095962387,0.086870072,0.08647796,0.077740398,0.075363892,0.078117222,0.070192344,0.071704205,0.066212498,0.069067896,,,,,,,,,,,,,,
,,,配电平均负载率,,,0.466000961,0.468925536,0.473993997,0.479130006,0.483559079,0.486650048,0.489279443,0.490491613,0.49153861,0.493010946,0.493968498,0.496067699,0.497200395,0.498156266,,,,,,,,,,,,,,
,,主动能力,清洁能源消纳率,,,0.727283251,0.727513684,0.75060499,0.768334467,0.785388297,0.797075654,0.808105304,0.811943561,0.80754559,0.82286033,0.824844844,0.83675188,0.84208507,0.846442151,,,,,,,,,,,,,,
3,投资,网络架构,线路联络率,,,0.1565,0.16152365,0.166934692,0.169739195,0.170927369,0.187814994,0.196153979,0.202273983,0.202415575,0.215187998,0.22590436,0.230874256,0.238446932,0.248175567,,,,,,,,,,,,,,
,,,无功补偿比例,,,0.2066,0.23185685,0.258462424,0.266183988,0.27729717,0.301387362,0.316079995,0.337612945,0.37424395,0.374477852,0.411738398,0.450750612,0.459765624,0.476776952,,,,,,,,,,,,,,
,,装备水平,电缆化率,,,0.29335,0.318708478,0.331421405,0.354584079,0.390357672,0.430304274,0.439388475,0.463017811,0.475107721,0.492475547,0.534117091,0.590911542,0.609820711,0.646952016,,,,,,,,,,,,,,
,,,架空线路绝缘化率,,,0.3933,0.4070655,0.437188347,0.445932114,0.498552103,0.558565313,0.566524869,0.60101207,0.667949789,0.699092948,0.726794506,0.747144752,0.757698172,0.847106556,,,,,,,,,,,,,,
,,,自动化率,,,0.2938,0.34116056,0.355966928,0.391777201,0.392168978,0.447386371,0.482103553,0.551815727,0.613508725,0.718664121,0.804760082,0.862702808,0.877541296,0.907202192,,,,,,,,,,,,,,
,,,运行32年以上配电比例,,,0.31369,0.310329036,0.290290647,0.274614952,0.259197284,0.256086916,0.233148845,0.210167031,0.192963358,0.190151606,0.187380826,0.173594951,0.164196024,0.142193757,,,,,,,,,,,,,,
,,,运行32年以上线路比例,,,0.3293,0.302571817,0.285930367,0.283976509,0.27574119,0.229968153,0.201452102,0.185705263,0.179762694,0.171673373,0.158454523,0.141288617,0.134106445,0.113163489,,,,,,,,,,,,,,
,环境,负荷与自然因素,年平均日照小时数,,,0.53642,0.518879066,0.518308299,0.535775289,0.561867545,0.565126377,0.529184339,0.49,0.501025,0.546568173,0.560396347,0.585558143,0.553586669,0.515776699,,,,,,,,,,,,,,
,,,年最大负荷利用小时数,,,0.53296,0.534990324,0.543448266,0.564590991,0.58655627,0.60331502,0.622017786,0.624180038,0.631016296,0.640511588,0.644812166,0.662222095,0.685242196,0.706876271,,,,,,,,,,,,,,
,,能源因素,分布式光伏装机容量,,,0.01491,0.06,0.06428,0.083349733,0.103298103,0.107016835,0.110370029,0.138477596,0.16072633,0.18858556,0.203735267,0.247809996,0.248801236,0.315728769,,,,,,,,,,,,,,
,,,分布式风机装机容量,,,0.11959,0.1339408,0.140347635,0.158522654,0.162062993,0.180754258,0.209012174,0.21301824,0.237799362,0.239186525,0.243611476,0.278407315,0.282815431,0.303649501,,,,,,,,,,,,,,
,效益,供电质量,供电可靠性,,,0.753967415,0.772088098,0.805626603,0.819715507,0.85022119,0.884388045,0.892808436,0.903513534,0.928247325,0.938480736,0.951202466,0.961459445,0.967949328,0.973276168,,,,,,,,,,,,,,
,,,系统平均停电频率,,,0.004202464,0.00366864,0.003146224,0.00273789,0.002260391,0.001634721,0.001387887,0.001120807,0.000852816,0.000712496,0.000512046,0.000396884,0.00035823,0.00024282,,,,,,,,,,,,,,
,,,电压合格率,,,0.568292684,0.629028959,0.665971222,0.707076047,0.766578412,0.841687977,0.861446482,0.894747344,0.921211563,0.933278467,0.9625453,0.978642537,0.991712242,0.992241196,,,,,,,,,,,,,,
,,,系统失负荷量,,,4027.756014,4007.048246,3948.202518,3966.000165,3911.467485,3922.504023,3876.558395,3878.152692,3875.428562,3878.441993,3831.695755,3865.5955,3831.236274,3854.976841,,,,,,,,,,,,,,
,,运行水平,线路重载比例,,,0.299346227,0.300828575,0.24422901,0.26685449,0.244867641,0.215970561,0.245034478,0.235645323,0.221513466,0.169407676,0.186975591,0.172091134,0.16649895,0.132418334,,,,,,,,,,,,,,
,,,线路平均负载率,,,0.453695677,0.464177276,0.472718085,0.482021481,0.496878328,0.51195395,0.517936794,0.525310101,0.529600582,0.532628497,0.54004875,0.544813108,0.546570594,0.548555523,,,,,,,,,,,,,,
,,,配电重载比例,,,0.07038675,0.064814162,0.061328772,0.050957431,0.060095288,0.073286121,0.060587259,0.052632707,0.059740941,0.058611429,0.066465805,0.051280287,0.042460823,0.068593994,,,,,,,,,,,,,,
,,,网损率,,,0.132755318,0.133597607,0.126588787,0.122450544,0.110039605,0.106420906,0.101836089,0.100729344,0.090148437,0.08698895,0.087029029,0.083192218,0.076286199,0.07249441,,,,,,,,,,,,,,
,,,配电平均负载率,,,0.47810612,0.479735891,0.482144845,0.484168318,0.486397626,0.489743315,0.491355634,0.491834313,0.493896794,0.494666999,0.496041992,0.49677889,0.49706381,0.498098908,,,,,,,,,,,,,,
,,主动能力,清洁能源消纳率,,,0.684318288,0.692542946,0.712540906,0.723368688,0.739993738,0.762809679,0.772320067,0.785843297,0.792786066,0.799846024,0.815232209,0.81721008,0.826948896,0.826843741,,,,,,,,,,,,,,
4,投资,网络架构,线路联络率,,,0.37045,0.392121325,0.434813534,0.435030941,0.466461927,0.505819652,0.563862457,0.606011175,0.615404348,0.666329058,0.738625761,0.756075795,0.817223425,0.837347551,,,,,,,,,,,,,,
,,,无功补偿比例,,,0.3419,0.360576288,0.402718641,0.447823129,0.479450637,0.529073778,0.534033845,0.575955502,0.636574818,0.661242093,0.710008697,0.756514267,0.807957237,0.827247216,,,,,,,,,,,,,,
,,装备水平,电缆化率,,,0.38315,0.416265107,0.445998329,0.487348746,0.545969838,0.603140679,0.658715785,0.659468603,0.663048575,0.683603081,0.728818542,0.77983584,0.783846424,0.829981385,,,,,,,,,,,,,,
,,,架空线路绝缘化率,,,0.4237,0.471525138,0.47635827,0.487016786,0.520620945,0.533246003,0.579905028,0.608827791,0.661034774,0.714909108,0.737607472,0.765636556,0.779896537,0.831077248,,,,,,,,,,,,,,
,,,自动化率,,,0.3841,0.410282817,0.456986677,0.529266737,0.608480325,0.614159475,0.618049151,0.643492175,0.695936787,0.804502926,0.881332955,0.99,0.99,0.99,,,,,,,,,,,,,,
,,,运行33年以上配电比例,,,0.3226,0.285931133,0.260435607,0.22410484,0.196913453,0.194320759,0.171002268,0.156923081,0.131240004,0.121003283,0.111282686,0.09859646,0.093847397,0.080724403,,,,,,,,,,,,,,
,,,运行33年以上线路比例,,,0.33475,0.311987,0.287236031,0.283597708,0.278351151,0.27208825,0.257123396,0.221126121,0.185745941,0.173115217,0.151331552,0.131154012,0.114453735,0.098296682,,,,,,,,,,,,,,
,环境,负荷与自然因素,年平均日照小时数,,,0.6487,0.64837565,0.637353264,0.631362143,0.654154317,0.67430227,0.7,0.63217,0.653979865,0.622785025,0.674289347,0.647317773,0.632558928,0.59941284,,,,,,,,,,,,,,
,,,年最大负荷利用小时数,,,0.55064,0.560306791,0.583652907,0.584398686,0.592093269,0.600941774,0.627650297,0.651535878,0.659499094,0.681225925,0.710480794,0.731953103,0.77127525,0.8,,,,,,,,,,,,,,
,,能源因素,分布式光伏装机容量,,,0.09753,0.10429208,0.111592526,0.12033394,0.130802993,0.136296719,0.139817717,0.145340517,0.157839801,0.168441375,0.18172017,0.209402209,0.212927146,0.221621671,,,,,,,,,,,,,,
,,,分布式风机装机容量,,,0.11629,0.125383878,0.132330145,0.132488941,0.145207879,0.156766427,0.182288001,0.199605361,0.237250932,0.258793317,0.266557116,0.274500518,0.320891106,0.321917957,,,,,,,,,,,,,,
,效益,供电质量,供电可靠性,,,0.707399184,0.771071164,0.820200974,0.857614899,0.893222127,0.91659843,0.947363225,0.9497236,0.970246273,0.976678461,0.988684044,0.991858098,0.99134583,0.993654405,,,,,,,,,,,,,,
,,,系统平均停电频率,,,0.002010513,0.001491979,0.00105494,0.000779937,0.000524677,0.000416856,0.000275289,2.07E-04,1.65E-04,1.01E-04,5.42E-05,5.85E-05,2.18E-05,5.55E-05,,,,,,,,,,,,,,
,,,电压合格率,,,0.207289548,0.339312549,0.497090987,0.61235103,0.740896877,0.828457449,0.88820403,0.910473177,0.930651627,0.950079456,0.979467744,0.989577706,0.989175917,0.996667399,,,,,,,,,,,,,,
,,,系统失负荷量,,,3988.966598,3940.839893,3938.660748,3905.543359,3888.056508,3881.796461,3838.395841,3838.887104,3863.154196,3841.29246,3843.294696,3834.032887,3836.66802,3817.362603,,,,,,,,,,,,,,
,,运行水平,线路重载比例,,,0.223170443,0.185191347,0.163172411,0.134661728,0.14162059,0.128359384,0.086329064,0.096430523,0.06461392,0.050878971,0.044149209,0.060439779,0.041549862,0.039768425,,,,,,,,,,,,,,
,,,线路平均负载率,,,0.491878891,0.507864204,0.522052952,0.532764505,0.541475681,0.54681157,0.548651666,0.549728108,0.549850322,0.550286951,0.550803149,0.550688244,0.550686805,0.550787611,,,,,,,,,,,,,,
,,,配电重载比例,,,0.063423549,0.072666235,0.053180454,0.062632098,0.068415441,0.064498337,0.047658684,0.048998313,0.06260507,0.046305966,0.058703083,0.06025366,0.064911881,0.050082819,,,,,,,,,,,,,,
,,,网损率,,,0.103925794,0.095958324,0.085921623,0.085403418,0.074497176,0.077607995,0.071420816,0.069848181,0.072577038,0.069693776,0.067215281,0.062407217,0.065818292,0.064427019,,,,,,,,,,,,,,
,,,配电平均负载率,,,0.485843986,0.489113051,0.491913432,0.494153129,0.495742964,0.496807319,0.498303462,0.498811328,0.499433416,0.499214539,0.500277553,0.50045029,0.500742912,0.500422069,,,,,,,,,,,,,,
,,主动能力,清洁能源消纳率,,,0.756342642,0.775857492,0.791667806,0.800188022,0.816418178,0.825786747,0.83762691,0.841451596,0.841556474,0.844336185,0.848605972,0.853903823,0.84908393,0.853991315,,,,,,,,,,,,,,
5,投资,网络架构,线路联络率,,,0.41493,0.443053033,0.461759717,0.501471053,0.533119448,0.555036581,0.610786922,0.635421994,0.667757914,0.691945589,0.748300713,0.806252446,0.889386032,0.93,,,,,,,,,,,,,,
,,,无功补偿比例,,,0.4066,0.451500257,0.464464765,0.488616932,0.491339227,0.555985431,0.610472003,0.692188041,0.749738532,0.842813216,0.931188202,0.95,0.95,0.95,,,,,,,,,,,,,,
,,装备水平,电缆化率,,,0.3521,0.3814249,0.392540711,0.42635529,0.429522501,0.441917293,0.468179806,0.520816593,0.551619174,0.627033396,0.643873721,0.698511005,0.744612732,0.764398156,,,,,,,,,,,,,,
,,,架空线路绝缘化率,,,0.4429,0.483978975,0.54278242,0.557844633,0.573324821,0.644775427,0.720294749,0.760901365,0.841081347,0.928448672,0.95,0.95,0.95,0.95,,,,,,,,,,,,,,
,,,自动化率,,,0.39136,0.443097792,0.448592205,0.495245794,0.524960542,0.557088127,0.614022533,0.721722086,0.764303689,0.7708767,0.857677417,0.97,0.97,0.97,,,,,,,,,,,,,,
,,,运行34年以上配电比例,,,0.33177,0.289469325,0.284403612,0.281322573,0.261911315,0.253093634,0.246555382,0.233652317,0.208184214,0.189725214,0.172365357,0.154065902,0.150239932,0.141901616,,,,,,,,,,,,,,
,,,运行34年以上线路比例,,,0.3283,0.279602167,0.263711444,0.23988951,0.217219951,0.2079519,0.188092493,0.169439988,0.167632628,0.160508241,0.13477342,0.131246849,0.127287569,0.112670713,,,,,,,,,,,,,,
,环境,负荷与自然因素,年平均日照小时数,,,0.671,0.7,0.68677,0.7,0.65968,0.680987664,0.7,0.63392,0.695156672,0.627935022,0.614873973,0.61825578,0.601439223,0.612926712,,,,,,,,,,,,,,
,,,年最大负荷利用小时数,,,0.49752,0.503513931,0.505456057,0.528995867,0.55360677,0.556401166,0.557513969,0.570761562,0.584704452,0.606254988,0.61462708,0.619105078,0.620844468,0.626639016,,,,,,,,,,,,,,
,,能源因素,分布式光伏装机容量,,,0.07012,0.08324997,0.097881152,0.114741181,0.11657704,0.125378606,0.127666766,0.148636032,0.176542447,0.194505641,0.238318036,0.275138173,0.312763318,0.336846094,,,,,,,,,,,,,,
,,,分布式风机装机容量,,,0.11104,0.122397806,0.130283721,0.131214319,0.142011383,0.154731546,0.156411488,0.174175365,0.181416083,0.186703066,0.206626951,0.229769169,0.250973581,0.286002322,,,,,,,,,,,,,,
,效益,供电质量,供电可靠性,,,0.325738735,0.496014091,0.561349962,0.647388338,0.696853256,0.772130139,0.856319608,0.908020922,0.940470163,0.976197484,0.986187793,0.995996345,0.996353194,0.994677833,,,,,,,,,,,,,,
,,,系统平均停电频率,,,0.001858285,0.001229144,0.000997479,0.000777,0.000638243,0.000432242,0.000270193,0.000177754,1.14E-04,8.22E-05,4.79E-05,5.31E-05,4.64E-05,1.34E-05,,,,,,,,,,,,,,
,,,电压合格率,,,0.566574707,0.719165561,0.754949367,0.837874708,0.863131236,0.898756436,0.940906034,0.968757325,0.984759697,0.994683647,0.997971761,0.999,0.999,0.999,,,,,,,,,,,,,,
,,,系统失负荷量,,,3975.163486,3962.419912,3946.078712,3947.786794,3937.338649,3921.945731,3879.851974,3876.175086,3860.41177,3847.802702,3814.287333,3837.687772,3843.362303,3846.334151,,,,,,,,,,,,,,
,,运行水平,线路重载比例,,,0.206663189,0.142038247,0.138845755,0.119275085,0.116646048,0.091020456,0.070802765,0.043294997,0.03075495,0.021887291,0.03400112,0.043265257,0.009282763,0.010810514,,,,,,,,,,,,,,
,,,线路平均负载率,,,0.487711372,0.50699199,0.51247236,0.524380102,0.527872621,0.532939701,0.540133259,0.545896725,0.547630698,0.549594913,0.55062722,0.55041044,0.550298485,0.550236161,,,,,,,,,,,,,,
,,,配电重载比例,,,0.063347996,0.049407796,0.075276728,0.06885272,0.058689746,0.047336857,0.073447606,0.04971193,0.048022539,0.052836404,0.041559915,0.06610575,0.049027118,0.042782189,,,,,,,,,,,,,,
,,,网损率,,,0.096885731,0.087482027,0.086236037,0.082534406,0.073341047,0.075358274,0.074405229,0.065626433,0.063443454,0.069012015,0.068147504,0.06743852,0.062359678,0.062163454,,,,,,,,,,,,,,
,,,配电平均负载率,,,0.486756549,0.491288072,0.491717967,0.493617612,0.494641128,0.4966609,0.498152847,0.498679206,0.499818639,0.500091005,0.499677888,0.500405272,0.500190898,0.499893495,,,,,,,,,,,,,,
,,主动能力,清洁能源消纳率,,,0.766955006,0.797007333,0.805959134,0.81826679,0.813689333,0.82984811,0.838642008,0.842341141,0.846582278,0.845780441,0.847324715,0.855923883,0.857888457,0.854096725,,,,,,,,,,,,,,
6,投资,网络架构,线路联络率,,,0.1539,0.157074188,0.158350415,0.161458042,0.17522234,0.195088173,0.216962435,0.233153256,0.237612312,0.239632017,0.24945693,0.271596232,0.271935727,0.284342795,,,,,,,,,,,,,,
,,,无功补偿比例,,,0.5831,0.605522845,0.606954081,0.61026474,0.612095534,0.65305029,0.69745771,0.744694618,0.768254048,0.836838182,0.911240704,0.95,0.95,0.95,,,,,,,,,,,,,,
,,装备水平,电缆化率,,,0.0541,0.0615117,0.063553888,0.071993845,0.0853847,0.097731328,0.09954913,0.112291419,0.128349092,0.135023245,0.14614916,0.160325629,0.176358191,0.18880908,,,,,,,,,,,,,,
,,,架空线路绝缘化率,,,0.4608,0.4958208,0.510289752,0.529495203,0.554814701,0.600813883,0.623644811,0.6587957,0.660412744,0.679564714,0.736277478,0.758700474,0.761528358,0.772120525,,,,,,,,,,,,,,
,,,自动化率,,,0.3108,0.32272695,0.331521259,0.357048396,0.367715217,0.396856648,0.397699969,0.397998244,0.446156031,0.479004269,0.514809838,0.557732108,0.560729918,0.57664063,,,,,,,,,,,,,,
,,,运行35年以上配电比例,,,0.446,0.3923685,0.37069014,0.332787074,0.297802832,0.264486141,0.262271069,0.260238468,0.249666281,0.245421954,0.243458578,0.227146853,0.211615687,0.198786486,,,,,,,,,,,,,,
,,,运行35年以上线路比例,,,0.4262,0.379477825,0.334367399,0.319153682,0.296932607,0.282531375,0.255019883,0.247879326,0.225384277,0.222961396,0.216969309,0.216915066,0.194138984,0.19112983,,,,,,,,,,,,,,
,环境,负荷与自然因素,年平均日照小时数,,,0.48922,0.474321027,0.445473685,0.440573474,0.426314915,0.393798713,0.404252279,0.425052896,0.424434638,0.403097151,0.394522175,0.397499024,0.390380178,0.39,,,,,,,,,,,,,,
,,,年最大负荷利用小时数,,,0.41259,0.423992487,0.397242416,0.398470256,0.365179877,0.340845618,0.355718882,0.335507581,0.325777862,0.311887878,0.286086245,0.299064157,0.284165325,0.27390954,,,,,,,,,,,,,,
,,能源因素,分布式光伏装机容量,,,0.0108,0.06,0.07104,0.07651008,0.087412766,0.108719628,0.110513502,0.135019871,0.155306607,0.169128895,0.182067255,0.2011388,0.243327664,0.289134096,,,,,,,,,,,,,,
,,,分布式风机装机容量,,,0.09144,0.097192407,0.101212639,0.108177908,0.111383908,0.117520149,0.124582042,0.130142931,0.134567791,0.137087878,0.14860326,0.1512511,0.160669918,0.161400236,,,,,,,,,,,,,,
,效益,供电质量,供电可靠性,,,0.778540367,0.823434633,0.830508716,0.851257673,0.867067061,0.884957126,0.908324568,0.920764473,0.935194436,0.941739227,0.954566215,0.963829295,0.968778624,0.968764972,,,,,,,,,,,,,,
,,,系统平均停电频率,,,0.005426496,0.004301325,0.00395366,0.003430416,0.003012046,0.00229769,0.001841924,0.001513713,0.001259678,0.000945896,0.000665153,0.000477012,0.000470325,0.000454881,,,,,,,,,,,,,,
,,,电压合格率,,,0.476111168,0.534661457,0.564466385,0.599244104,0.632763178,0.679788302,0.707251461,0.741488845,0.774158372,0.797873748,0.836211649,0.856298086,0.870141483,0.882823409,,,,,,,,,,,,,,
,,,系统失负荷量,,,4178.090232,4118.244097,4144.615497,4118.678236,4067.209329,4065.893171,4038.67263,4013.533865,3972.997005,3958.332753,3920.28044,3897.267637,3882.692835,3910.95101,,,,,,,,,,,,,,
,,运行水平,线路重载比例,,,0.269188414,0.232166696,0.246523136,0.213570171,0.193914199,0.169138458,0.147175716,0.155834389,0.147474673,0.079139489,0.089439467,0.077997118,0.05451244,0.053568579,,,,,,,,,,,,,,
,,,线路平均负载率,,,0.418455425,0.428991348,0.434429939,0.439869219,0.445994802,0.455920318,0.465325194,0.473817436,0.481589866,0.491683908,0.502454452,0.510066001,0.513670323,0.515357424,,,,,,,,,,,,,,
,,,配电重载比例,,,0.049616651,0.074826513,0.050133196,0.054912986,0.050927901,0.069575003,0.050975006,0.046601038,0.074616547,0.053542002,0.04829829,0.065294645,0.056378192,0.061661366,,,,,,,,,,,,,,
,,,网损率,,,0.137770795,0.125449913,0.124000844,0.121567387,0.110307093,0.096327196,0.092531222,0.089322588,0.083123556,0.084269139,0.077587487,0.070512812,0.069851754,0.067512327,,,,,,,,,,,,,,
